,SE,S,NE,N
2025-10-05 13:00:00,0.9394103478675069,0.9685744774826075,0.9644712242112011,0.844412851065695
2025-10-05 14:00:00,0.6842507767723638,0.9673565967577934,0.9665660731813582,0.8736796940935416
2025-10-05 15:00:00,0.6624903836404934,0.9630524316278747,0.6056382928701269,0.8792281106693284
2025-10-05 16:00:00,0.6008586207086992,0.9407290920637875,0.6857985199664773,0.8533440902994317
2025-10-05 17:00:00,0.35557553066970565,0.9538671502760578,0.9332549282194622,0.8369735592862172
2025-10-05 18:00:00,0.2020213368611865,0.9356517471711144,0.7961563037609636,0.8056669484516186
2025-10-05 19:00:00,0.08259880976769511,0.7661062338759045,0.5536421555172825,0.6473120501590626
2025-10-05 20:00:00,0.023209149812051685,0.18780027857384848,0.1437664173314778,0.17806207876424876
2025-10-05 21:00:00,9.302010574407352e-05,0.005042801504420852,0.004604832439272256,0.004001291141667905
2025-10-05 22:00:00,0.0,0.0,0.0,0.0
2025-10-05 23:00:00,0.0,0.0,0.0,0.0
2025-10-06 00:00:00,0.0,0.0,0.0,0.0
2025-10-06 01:00:00,0.0,0.0,0.0,0.0
2025-10-06 02:00:00,0.0,0.0,0.0,0.0
2025-10-06 03:00:00,0.0,0.0,0.0,0.0
2025-10-06 04:00:00,0.0,0.0,0.0,0.0
2025-10-06 05:00:00,0.0,0.0,0.0,0.0
2025-10-06 06:00:00,0.0,0.0,0.0,0.0
2025-10-06 07:00:00,0.0,0.0,0.0,0.0
2025-10-06 08:00:00,0.0032204180660479692,1.0901939544813313e-05,0.00019982423962924757,0.00010180713470943277
2025-10-06 09:00:00,0.07125345315955686,0.14871695120890555,0.07081956517812554,0.1590557579704435
2025-10-06 10:00:00,0.2601507747144153,0.7861306248707588,0.4529486979312308,0.5517692592096204
2025-10-06 11:00:00,0.4442325590947005,0.9588635009216717,0.8685933302620699,0.7656865050819701
2025-10-06 12:00:00,0.8263470511474539,0.9634175911042935,0.9841758424225864,0.8303044778300281
2025-10-06 13:00:00,0.9819191604589637,0.961698551744547,0.9953049298324785,0.8731421605085719
2025-10-06 14:00:00,0.9758180080693407,0.9617826511753371,0.7194571050622076,0.8786253042558171
2025-10-06 15:00:00,0.9558818220001136,0.9593957095927661,0.4945384822450934,0.850439700208584
2025-10-06 16:00:00,0.9436973591123237,0.9552833799734127,0.7425598761385657,0.8323073842675512
2025-10-06 17:00:00,0.888647125455776,0.9474021737035403,0.8037043537398996,0.8191878724739738
2025-10-06 18:00:00,0.6331784382898796,0.88668775747502,0.6914297848466969,0.7851604166820867
2025-10-06 19:00:00,0.3001000946706711,0.6294253453410001,0.37982053516110414,0.5911273369110732
2025-10-06 20:00:00,0.05624858792070504,0.15883825625448367,0.1614056059446155,0.14138643135482104
2025-10-06 21:00:00,0.000188334472139391,0.005662017521681919,0.005788836983126247,0.005269024651312249
2025-10-06 22:00:00,0.0,0.0,0.0,0.0
2025-10-06 23:00:00,0.0,0.0,0.0,0.0
2025-10-07 00:00:00,0.0,0.0,0.0,0.0
2025-10-07 01:00:00,0.0,0.0,0.0,0.0
2025-10-07 02:00:00,0.0,0.0,0.0,0.0
2025-10-07 03:00:00,0.0,0.0,0.0,0.0
2025-10-07 04:00:00,0.0,0.0,0.0,0.0
2025-10-07 05:00:00,0.0,0.0,0.0,0.0
2025-10-07 06:00:00,0.0,0.0,0.0,0.0
2025-10-07 07:00:00,0.0,0.0,0.0,0.0
2025-10-07 08:00:00,0.0016129254908625276,0.0,0.0005302472371475294,1.070006503184388e-05
2025-10-07 09:00:00,0.04459495566726792,0.08781733038611121,0.07624410062343727,0.10836719130916259
2025-10-07 10:00:00,0.11541450621975773,0.4850746600012116,0.41483926372524305,0.5634187334727423
2025-10-07 11:00:00,0.2565147430819219,0.7463807151631705,0.8578622784671464,0.8160062703258693
2025-10-07 12:00:00,0.39177042001984674,0.8122471190943947,0.9806712383817497,0.8921406274205315
2025-10-07 13:00:00,0.4395057987650649,0.8185656590665598,0.9931251095423125,0.8866679631762093
2025-10-07 14:00:00,0.8435491401494648,0.8177366478596686,0.5572740664527458,0.8536009541927998
2025-10-07 15:00:00,0.9719868766084199,0.8254214445870935,0.8586932689515516,0.8183374593594821
2025-10-07 16:00:00,0.9495777039523239,0.8272398507229354,0.7129591061901641,0.7209412121442105
2025-10-07 17:00:00,0.8626177846884133,0.8002341226197224,0.5451229806956805,0.6661130860984554
2025-10-07 18:00:00,0.5947808108349075,0.7127865151377668,0.8327357214654517,0.5657435749689319
2025-10-07 19:00:00,0.2757384453369506,0.496579960057503,0.4646252010100728,0.3726081195955358
2025-10-07 20:00:00,0.05456647785152777,0.11555515731797193,0.14461622140675134,0.10007917219231532
2025-10-07 21:00:00,0.00017373561573615797,0.0032230402840478186,0.005003571827905527,0.002088949409561706
2025-10-07 22:00:00,0.0,0.0,0.0,0.0
2025-10-07 23:00:00,0.0,0.0,0.0,0.0
2025-10-08 00:00:00,0.0,0.0,0.0,0.0
2025-10-08 01:00:00,0.0,0.0,0.0,0.0
2025-10-08 02:00:00,0.0,0.0,0.0,0.0
2025-10-08 03:00:00,0.0,0.0,0.0,0.0
2025-10-08 04:00:00,0.0,0.0,0.0,0.0
